Imie Nazwisko,Ilość
Marcin Adam,4
Katarzyna Adrianowicz,3
Orest Artemovych,0
Lech Bartłomiejczyk,0
Agnieszka Bier,5
Barbara Biły,5
Marek Błasik,0
Mykola Bratiichuk,4
Rafał Brociek,0
Giacomo Capizzi,0
Robertas Damaševičius,0
Ewelina Domalik,0
Ryszard Frankiewicz,0
Michał Gacki,0
Henryk Gacki,25
Piotr Gawron,5
Zuzanna Grabarz,0
Edyta Hetmaniok,5
Waldemar Hołubowski,5
Krzysztof Jelito,0
Konrad Kaczmarek,2
Adrian Kapczyński,4
Jarosław Karcewicz,4
Wojciech Kempa,5
Roman Kluger,0
Martyna Kobielnik,0
Katarzyna Komorowska,1
Marianna Konkol,0
Paweł Kozyra,0
Viktor Kulyk,5
Sławomir Kusiński,0
Marcin Lawnik,0
Jakub Jan Ludew,0
Ewa Łobos,0
Martyna Maciaszczyk,0
Zbigniew Marszałek,5
Elwira Mateja-Losa,5
Marek Morawiak,0
Iwona Nowak,5
Bogdana Oliynyk,0
Sebastian Pabiasz,0
Bartłomiej Pawlik,2
Bożena Piątek,3
Piotr Pikiewicz,0
Mariusz Pleszczyński,4
Dawid Połap,3
Karol Profus,0
Katarzyna Prokop,0
Michał Różański,6
Alicja Samulewicz,5
Katarzyna Sawicz,0
Beata Sikora,6
Jakub Siłka,0
Maciej Skrzypczak,0
Piotr Słanina,4
Damian Słota,0
Roksana Słowik,5
Adrian Smuda,0
Marcin Sobota,5
Zdzisław Sroczyński,5
Andrzej Starosolski,5
Beniamin Stecuła,0
Anna Szmajduch,0
Monika Szymura,0
Witold Tomaszewski,7
Jacek Uryga,0
Michał Wieczorek,0
Mirosław Witkowski,0
Roman Wituła,5
Hanna Wójtowicz,0
Adam Woryna,6
Marcin Woźniak,29
Marek Żabka,4
Adam Zielonka,15
